Title,Director,Cast,Genre,Combined
Ponzi,Kayode Kasum,Timini Egbuson Uzoamaka Aniunoh Jide Kosoko Mawuli Gavor,Comedy,Timini Egbuson Uzoamaka Aniunoh Jide Kosoko Mawuli Gavor Kayode Kasum Comedy
Under the Carpet,Tope Alake,Iyabo Ojo Deyemi Okanlawon Femi Jacobs.,Romance Drama,Iyabo Ojo Deyemi Okanlawon Femi Jacobs. Tope Alake Romance Drama
Eagle Wings,Paul Apel Papel,Femi Jacobs Enyinna Nwigwe Yakubu Mohammed Uzee Usman,War,Femi Jacobs Enyinna Nwigwe Yakubu Mohammed Uzee Usman Paul Apel Papel War
Mamba's Diamond,Seyi Babatope,Osas Ighodaro Gabriel Afolayan Uchemba Williams Nse Ikpe-Etim,Action Comedy,Osas Ighodaro Gabriel Afolayan Uchemba Williams Nse Ikpe-Etim Seyi Babatope Action Comedy
La Femme Anjola,Mildred Okwo,Nonso Bassey Joke Silva Rita Dominic Femi Jacobs,Thriller Crime Drama,Nonso Bassey Joke Silva Rita Dominic Femi Jacobs Mildred Okwo Thriller Crime Drama
The Razz Guy,Udoka Onyeka,Nancy Isime Lasisi Elenu Broda Shaggi MC Lively,Comedy,Nancy Isime Lasisi Elenu Broda Shaggi MC Lively Udoka Onyeka Comedy
The Therapist,Kayode Kasum,Rita Dominic Michelle Dede Toyin Abraham Shaffy Bello Tope Tedela,Drama Romance Comedy,Rita Dominic Michelle Dede Toyin Abraham Shaffy Bello Tope Tedela Kayode Kasum Drama Romance Comedy
Prophetess,Niyi Akinmolayan,Toyin Abraham Lateef Adedimeji Muyiwa Ademola Tina Mba,Comedy Drama,Toyin Abraham Lateef Adedimeji Muyiwa Ademola Tina Mba Niyi Akinmolayan Comedy Drama
Breaded Life,Biodun Stephen,Timini Egbuson Bimbo Ademoye Tina Mba Jide Kosoko,Romance Comedy Drama Fantasy,Timini Egbuson Bimbo Ademoye Tina Mba Jide Kosoko Biodun Stephen Romance Comedy Drama Fantasy
Eyimofe,Ari and Chuko Esiri,Jude Akuwudike Temi Ami-Williams Cynthia Ebijie Sadiq Daba,Drama,Jude Akuwudike Temi Ami-Williams Cynthia Ebijie Sadiq Daba Ari and Chuko Esiri Drama
The Wait,Yemi Morafa,Nse Ikpe Etim Deyemi Okanlawon Jimmy Odukoya Chimezie Imo,Drama Faith,Nse Ikpe Etim Deyemi Okanlawon Jimmy Odukoya Chimezie Imo Yemi Morafa Drama Faith
Suga Suga,Richard Omos,Taiwo Obileye Ayo Adesanya Tana Adelana Wole Ojo,Comedy Cime,Taiwo Obileye Ayo Adesanya Tana Adelana Wole Ojo Richard Omos Comedy Cime
Mimi,Samuel Olatunji,Ali Baba Ireti Doyle Toyin Abraham Prince Jide Kosoko Bimbo Akintola,Romance Comedy,Ali Baba Ireti Doyle Toyin Abraham Prince Jide Kosoko Bimbo Akintola Samuel Olatunji Romance Comedy
Lockdown,Moses Inwang,Omotola Jalade-Ekeinde Tony Umez Charles Awurum Sola Sobowale Nobert Young,Action Thriller Crime,Omotola Jalade-Ekeinde Tony Umez Charles Awurum Sola Sobowale Nobert Young Moses Inwang Action Thriller Crime
My Village People,Niyi Akinmolayan,Bovi Ugboma Nkem Owoh Amaechi Muonagor Charles Inojie Rachael Oniga,Comedy,Bovi Ugboma Nkem Owoh Amaechi Muonagor Charles Inojie Rachael Oniga Niyi Akinmolayan Comedy
The New Patriots,Terry Ayebo,Akin Lewis Dele Odule Bimbo Oshin Taiwo Ibikunle Lateef Adedimeji,Politics Thriller,Akin Lewis Dele Odule Bimbo Oshin Taiwo Ibikunle Lateef Adedimeji Terry Ayebo Politics Thriller
Badamasi,Obi Emelonye,Enyinna Nwigwe Charles Inojie Sani Danja Yakubu Mohammed,History Biopic,Enyinna Nwigwe Charles Inojie Sani Danja Yakubu Mohammed Obi Emelonye History Biopic
Dwindle,Kayode Kasum Dare Olaitan,Funke Akindele-Bello Bisola Aiyeola Jidekene Achufusi Samuel Perry Uzor Arukwe,Comedy,Funke Akindele-Bello Bisola Aiyeola Jidekene Achufusi Samuel Perry Uzor Arukwe Kayode Kasum Dare Olaitan Comedy
Ayinla,Tunde Kelani,Lateef Adedimeji Bimbo Manuel Ade Laoye Kunle Afolayan Bimbo Ademoye,Music Biopic History,Lateef Adedimeji Bimbo Manuel Ade Laoye Kunle Afolayan Bimbo Ademoye Tunde Kelani Music Biopic History
Devil In Agbada,Umanu Elijah,Erica Nlewedim Linda Osifo Efe Irele,Action,Erica Nlewedim Linda Osifo Efe Irele Umanu Elijah Action
Gone,Daniel Ademinokan,Sam Dede Gabriel Afolayan Stella Damasus Ada Ameh Bimbo Manuel,Drama,Sam Dede Gabriel Afolayan Stella Damasus Ada Ameh Bimbo Manuel Daniel Ademinokan Drama
Loving Rona,Luke Aire Oyovbaire,Meg Otanwa Gideon Okeke Jeffbankz Nweke,Romance,Meg Otanwa Gideon Okeke Jeffbankz Nweke Luke Aire Oyovbaire Romance
The Ghost and the Tout Too,Michael 'Ama Psalmist' Akinrogunde,Mercy Johnson-Okojie Patience Ozokwo Iyabo Ojo Odunlade Adekola,Drama Comedy,Mercy Johnson-Okojie Patience Ozokwo Iyabo Ojo Odunlade Adekola Michael 'Ama Psalmist' Akinrogunde Drama Comedy
Love Castle,Desmond Eliott,Kehinde Bankole Jide Kosoko Zack Orji Desmond Elliot Femi Adebayo Salami,Family Drama,Kehinde Bankole Jide Kosoko Zack Orji Desmond Elliot Femi Adebayo Salami Desmond Eliott Family Drama
Charge and Bail,Uyoyou Adia,Zainab Balogun Stan Nze Elozonam Ogbolu Folu Storms Eso Dike,Comedy Drama,Zainab Balogun Stan Nze Elozonam Ogbolu Folu Storms Eso Dike Uyoyou Adia Comedy Drama
Progressive Tailors Club,Biodun Stephen,Femi Adebayo Salami Jaiye Kuti Rachel Oniga Uzor Arukwe,Politics Satire Comedy,Femi Adebayo Salami Jaiye Kuti Rachel Oniga Uzor Arukwe Biodun Stephen Politics Satire Comedy
Soole,Kayode Kasum,Sola Sobowale Adedimeji Lateef Femi Jacob Adunni Ade Shawn Faqua,Comedy Drama,Sola Sobowale Adedimeji Lateef Femi Jacob Adunni Ade Shawn Faqua Kayode Kasum Comedy Drama
A Naija Christmas,Kunle Afolayan,Rachel Oniga Abayomi Alvin Efa Iwara Kunle Remi,Comedy Romance,Rachel Oniga Abayomi Alvin Efa Iwara Kunle Remi Kunle Afolayan Comedy Romance
Aki and Pawpaw,Biodun Stephen,Chinedu Ikedieze Osita Iheme Amaechi Muonagor Toyin Abraham Chioma Okafor,Comedy Drama,Chinedu Ikedieze Osita Iheme Amaechi Muonagor Toyin Abraham Chioma Okafor Biodun Stephen Comedy Drama
Christmas in Miami,Robert Peters,AY Makun Richard Mofe-Damijo Osita Iheme John Amos.,Comedy,AY Makun Richard Mofe-Damijo Osita Iheme John Amos. Robert Peters Comedy
Superstar,Akhigbe Illozhobie,Nancy Isime Deyemi Okanlawon Timini Egbuson Daniel Etim Effiong Eku Edewor,Romance Comedy,Nancy Isime Deyemi Okanlawon Timini Egbuson Daniel Etim Effiong Eku Edewor Akhigbe Illozhobie Romance Comedy
Chief Daddy 2: Going for Broke,John Demps,Funke Akindele-Bello Nkem Owoh Patience Ozokwo Zainab Balogun Shaffy Bello,Comedy,Funke Akindele-Bello Nkem Owoh Patience Ozokwo Zainab Balogun Shaffy Bello John Demps Comedy
Over Her Dead Body,Sola Osofisan,Nse Ikpe Etim Binta Ayo Mogaji Uche Mac-Auley Patrick Fakoya Gregory Ojefua,Comedy drama,Nse Ikpe Etim Binta Ayo Mogaji Uche Mac-Auley Patrick Fakoya Gregory Ojefua Sola Osofisan Comedy drama
Juju Stories,C.J. ObasiAbba Makama Michael Omonua,Paul Utomi Timini Egbuson Adebukola Oladipupo Uzoamaka Aniunoh Michael Ejoor,Horror Drama,Paul Utomi Timini Egbuson Adebukola Oladipupo Uzoamaka Aniunoh Michael Ejoor C.J. ObasiAbba Makama Michael Omonua Horror Drama
Dinner At My Place,Kevin Apaa,Timini Egbuson Sophie Alakija Bisola Aiyeola,Comedy Romance,Timini Egbuson Sophie Alakija Bisola Aiyeola Kevin Apaa Comedy Romance
Head Over Bills,Dabby Chimere,Shaffy Bello Bimbo Ademoye Racheal Okonkwo Uzor Arukwe Mofe Duncan,Romance Drama,Shaffy Bello Bimbo Ademoye Racheal Okonkwo Uzor Arukwe Mofe Duncan Dabby Chimere Romance Drama
King of Thieves (Ogundabede),Adebayo Tijani and Tope Adebayo Salami,Toyin Abraham Femi Adebayo Salami Odunlade Adekola Ibrahim Chatta Adedimeji Lateef,Drama,Toyin Abraham Femi Adebayo Salami Odunlade Adekola Ibrahim Chatta Adedimeji Lateef Adebayo Tijani and Tope Adebayo Salami Drama
The Blood Covenant,Fiyin Gambo,Tobi Bakre Shawn Faqua Uzor Arukwe Erica Nlewedim Alexx Ekubo,Drama Thriller,Tobi Bakre Shawn Faqua Uzor Arukwe Erica Nlewedim Alexx Ekubo Fiyin Gambo Drama Thriller
The Set Up 2,Naz Onuzo,Adesua Etomi Nancy Isime Kehinde Bankole,Crime Thriller,Adesua Etomi Nancy Isime Kehinde Bankole Naz Onuzo Crime Thriller
Anikulapo,Kunle Afolayan,Bimbo Ademoye Kunle Remi Hakeem Kae-Kazim Sola Sobowale Taiwo Hassan Daithia Balogun Oga Bello Yinka Quadri,Drama Fantasy,Bimbo Ademoye Kunle Remi Hakeem Kae-Kazim Sola Sobowale Taiwo Hassan Daithia Balogun Oga Bello Yinka Quadri Kunle Afolayan Drama Fantasy
